alendronate tablet 	Fosamax
acyclovir capsule 	Zovirax
acyclovir tablet 	Zovirax
albuterol inhalation solution 	Albuterol Inhalation Solution
albuterol sulfate 	ProAir RespiClick Powder Inhaler
alclometasone dipropionate cream 	Aclovate
alfuzosin hcl 	Uroxatral
alitretinoin 	Panretin gel
allopurinol tablet 	Zyloprim
alprazolam 	Xanax
altretamine 	Hexalen capsules
amiodarone tablet 	Cordarone
amitriptyline tablet 	Elavil
amlodipine and valsartan 	Exforge
amlodipine besylate 	Norvasc
amlodipine, valsartan, hydrochlorothiazide 	Exforge HCT
Amlodipine/Benazepril capsule 	Lotrel
amoxapine tablet 	Amoxapine tablet
anastrazole 	Arimidex
antihypertensive combinations 	Hyzaar
Arsenic Trioxide 	Arsenic Trioxide
artificial tears 1.4% drops (OTC) 	Artificial Tears 1.4% drops (OTC)
aspirin EC tablet (OTC) 	Aspirin EC Tablet (OTC)
atenolol tablet 	Tenormin
atenolol/chlorthalidone tablet 	Tenoretic
atorvastatin calcium 	Lipitor
augmented betamethasone dipropionate 	Diprolene Cream
azathioprine 	Imuran
azelastine 	Astepro
Azelastine nasal spray 	Astelin
baclofen tablet 	Lioresal
Belladonna Alkaloids with Phenobarbital 	Donnatal Tablet
benazepril HCTZ tablet 	Lotensin HCT
benazepril tablet 	Lotensin
benzonatate 	Tessalon Capsule
benzonatate capsule 	Benzonatate capsule
benztropine tablet 	Benztropine tablet
bethanechol tablet 	Urecholine
bicalutamide 	Casodex
bisoprolol/HCTZ tablet 	Ziac
Bleomycin 	Bleomycin
Bortezomib 	Bortezomib
brimonidine tartrate 	Brimonidine Tartrate 0.2% Solution
bromocriptine tablet 	Bromocriptine tablet
budesonide inhalation suspension 	Pulmicort Respules
bupropion hcl 	Wellbutrin SR
bupropion hcl 	Wellbutrin XL
bupropion HCL tablet 	Wellbutrin
buspirone tablet 	Buspar
Calcitonin-salmon (rDNA origin) 	Fortical Nasal Spray
calcitriol capsule 	Rocaltrol
calcium acetate 	PhosLo gelcaps
candesartan cilexetil-hydrochlorothiazide 	Atacand HCT
candesartan cilextil 	Atacand
capsaicin cream, 0.035% (OTC) 	Capsaicin Cream, 0.035% (OTC)
captopril tablet 	Capoten
carbamazepine tablet 	Tegretol
carbidopa/levo SR tablet 	Sinemet CR
carbidopa/levo tablet 	Sinemet
carvedilol 	Coreg tablets
cetirizine HCl tablet - OTC 	Zyrtec OTC
cevimeline HCl 	Evoxac
chlordiazepoxide capsule 	Chlordiazepoxide capsule
chlorpromazine HCL 	Chlorpromazine HCL
chlorthalidone tablet 	Chlorthalidone tablet
cholestyramine 	Prevalite Powder
cilostazol tablet 	Pletal
citalopram tablet 	Celexa
Cladribine 	Cladribine
clindamycin phosphate 	Cleocin
Clofarabine 	Clofarabine
clomipramine hcl 	Anafranil
clonazepam tablet 	Klonopin
clonidine HCL tablets 	Catapres
clonidine patch 	Catapres TTS -3
clopidogrel bisulfate tablets 	Plavix
clotrimazole/betamethasone cream 	Lotrisone Cream
colestipol hcl 	Colestid
Cytarabine 	Cytarabine
decitabine 	Dacogen
Dexmethylphenidate HCl tablet 	Focalin
dextroamphetamine sulfate ER capsule 	Dextroamphetamine sulfate ER capsule
dextroamphetamine-amphetamine ER capsule 	Adderall XR
